-42.77, 91.8451, 272.609
-42.7694, 91.8468, 273.013
-42.7689, 91.8485, 273.416
-42.7683, 91.8502, 273.82
-42.7677, 91.8519, 274.224
-42.7669, 91.8537, 274.628
-42.766, 91.8555, 275.031
-42.7653, 91.8575, 275.435
-42.7645, 91.8594, 275.839
-42.7636, 91.8613, 276.242
-42.7629, 91.8632, 276.646
-42.7619, 91.8651, 277.049
-42.7609, 91.8669, 277.453
-42.7597, 91.8689, 277.856
-42.7585, 91.8709, 278.26
-42.7574, 91.8731, 278.663
-42.7563, 91.8753, 279.067
-42.7553, 91.8774, 279.47
-42.7541, 91.8794, 279.873
-42.7528, 91.8815, 280.277
-42.7515, 91.8836, 280.68
-42.7502, 91.8856, 281.083
-42.7488, 91.8878, 281.487
-42.7474, 91.8901, 281.89
-42.7461, 91.8923, 282.293
-42.7446, 91.8945, 282.696
-42.7431, 91.8968, 283.099
-42.7416, 91.899, 283.503
-42.7402, 91.9012, 283.906
-42.7387, 91.9035, 284.309
-42.7371, 91.9056, 284.712
-42.7356, 91.9079, 285.115
-42.7341, 91.9103, 285.518
-42.7324, 91.9126, 285.921
-42.7306, 91.9149, 286.324
-42.729, 91.9172, 286.727
-42.727, 91.9196, 287.13
-42.7252, 91.9219, 287.532
-42.7232, 91.9243, 287.935
-42.7212, 91.9267, 288.338
-42.7192, 91.929, 288.741
-42.7172, 91.9315, 289.143
-42.7151, 91.934, 289.546
-42.713, 91.9366, 289.948
-42.7108, 91.9392, 290.35
-42.7085, 91.9416, 290.753
-42.7062, 91.944, 291.155
-42.704, 91.9464, 291.557
-42.7015, 91.9489, 291.96
-42.6991, 91.9514, 292.362
-42.6967, 91.9539, 292.764
-42.6943, 91.9565, 293.166
-42.6919, 91.959, 293.568
-42.6895, 91.9615, 293.97
-42.6869, 91.964, 294.372
-42.6845, 91.9665, 294.774
-42.6819, 91.9689, 295.176
-42.6792, 91.9714, 295.578
-42.6765, 91.9741, 295.98
-42.6739, 91.9767, 296.381
-42.6713, 91.9791, 296.783
-42.6685, 91.9817, 297.185
-42.6659, 91.9842, 297.586
-42.6631, 91.9866, 297.988
-42.6603, 91.9891, 298.39
-42.6576, 91.9916, 298.791
-42.6548, 91.9941, 299.192
-42.652, 91.9966, 299.594
-42.6491, 91.9992, 299.995
-42.6462, 92.0018, 300.396
-42.6433, 92.0043, 300.798
-42.6404, 92.0068, 301.199
-42.6375, 92.0093, 301.6
-42.6345, 92.0118, 302.001
-42.6315, 92.0142, 302.402
-42.6284, 92.0166, 302.803
-42.6255, 92.019, 303.204
-42.6224, 92.0214, 303.604
-42.6193, 92.024, 304.005
-42.6163, 92.0264, 304.406
-42.6132, 92.0288, 304.807
-42.6101, 92.0312, 305.207
-42.607, 92.0336, 305.608
-42.6039, 92.036, 306.008
-42.6007, 92.0384, 306.409
-42.5977, 92.0408, 306.809
-42.5946, 92.0431, 307.209
-42.5914, 92.0454, 307.61
-42.5882, 92.0478, 308.01
-42.585, 92.0502, 308.41
-42.5819, 92.0525, 308.81
-42.5786, 92.0548, 309.21
-42.5754, 92.0573, 309.61
-42.5723, 92.0596, 310.01
-42.5691, 92.062, 310.41
-42.5658, 92.0642, 310.81
-42.5626, 92.0664, 311.21
-42.5594, 92.0685, 311.61
-42.5562, 92.0707, 312.009
-42.5529, 92.0728, 312.409
-42.5488, 92.0754, 312.9
-42.5457, 92.0776, 313.299
-42.5425, 92.0796, 313.699
-42.5392, 92.0818, 314.098
-42.5359, 92.0838, 314.498
-42.5328, 92.0859, 314.897
-42.5297, 92.0878, 315.296
-42.5263, 92.0896, 315.695
-42.5231, 92.0915, 316.094
-42.52, 92.0934, 316.493
-42.5168, 92.0952, 316.892
-42.5138, 92.0971, 317.291
-42.5104, 92.0988, 317.69
-42.5072, 92.1008, 318.088
-42.5041, 92.1025, 318.487
-42.5009, 92.1042, 318.886
-42.4978, 92.1058, 319.284
-42.4946, 92.1074, 319.683
-42.4914, 92.1091, 320.081
-42.4882, 92.1106, 320.48
-42.4849, 92.112, 320.878
-42.4818, 92.1135, 321.277
-42.4784, 92.1147, 321.675
-42.4753, 92.1161, 322.073
-42.4721, 92.1174, 322.472
-42.469, 92.1188, 322.87
-42.4659, 92.1201, 323.268
-42.4627, 92.1214, 323.666
-42.4596, 92.1228, 324.064
-42.4565, 92.124, 324.462
-42.4535, 92.1252, 324.86
-42.4504, 92.1265, 325.258
-42.4475, 92.1276, 325.656
-42.4446, 92.1288, 326.054
-42.4417, 92.1299, 326.452
-42.4386, 92.1309, 326.85
-42.4358, 92.132, 327.248
-42.4328, 92.133, 327.646
-42.4298, 92.134, 328.043
-42.4271, 92.1349, 328.441
-42.4242, 92.1359, 328.839
-42.4215, 92.1367, 329.237
-42.4186, 92.1376, 329.634
-42.4159, 92.1383, 330.032
-42.4129, 92.1392, 330.43
-42.41, 92.1399, 330.827
-42.4072, 92.1408, 331.225
-42.4044, 92.1415, 331.622
-42.4019, 92.142, 332.02
-42.3991, 92.1424, 332.417
-42.3963, 92.1431, 332.815
-42.3937, 92.1434, 333.212
-42.3913, 92.1436, 333.609
-42.3882, 92.144, 334.006
-42.3855, 92.1445, 334.404
-42.3824, 92.145, 334.801
-42.3799, 92.1453, 335.199
-42.3777, 92.1453, 335.596
-42.3751, 92.1455, 335.993
-42.3723, 92.1458, 336.39
-42.3696, 92.1461, 336.788
-42.3669, 92.1464, 337.185
-42.3644, 92.1464, 337.582
-42.3619, 92.1466, 337.979
-42.3595, 92.1469, 338.377
-42.357, 92.147, 338.774
-42.3543, 92.1472, 339.171
-42.3519, 92.1473, 339.568
-42.3496, 92.1476, 339.965
-42.3472, 92.1478, 340.362
